date,time,event,location,source_id
2026-08-26,08:37,"Ice-rock avalanche collapses into the Lhende Khola in Tibet, damming it with ice and debris",Tibet (TAR),S8
2026-08-26,08:50,River gauge destroyed as the temporary dam fails and the surge is released,Lhende Khola,S8
2026-08-26,09:15,Official warning issued -- 38 minutes after the collapse,Nepal,S8
2026-08-26,,"Surge travels Lhende Khola to Bhote Koshi to Trishuli to Narayani, over 100 km downstream",Nepal,S8
2026-08-26,,"Rasuwagadhi border crossing, Timure and Syabrubesi destroyed",Rasuwa,S8
